period,value,value-units
2022-06-04,268344,megawatthours
2022-06-03,292155,megawatthours
2022-06-02,297267,megawatthours
2022-06-01,294265,megawatthours
2022-05-31,274482,megawatthours
2022-05-30,248607,megawatthours
2022-05-29,234430,megawatthours
2022-05-28,254320,megawatthours
2022-05-27,279233,megawatthours
2022-05-26,303837,megawatthours
2022-05-25,338487,megawatthours
2022-05-24,317596,megawatthours
2022-05-23,288886,megawatthours
2022-05-22,251357,megawatthours
2022-05-21,254237,megawatthours
2022-05-20,263248,megawatthours
2022-05-19,292503,megawatthours
2022-05-18,286406,megawatthours
2022-05-17,257384,megawatthours
2022-05-16,254587,megawatthours
2022-05-15,236563,megawatthours
2022-05-14,242289,megawatthours
2022-05-13,250537,megawatthours
2022-05-12,247928,megawatthours
2022-05-11,245138,megawatthours
2022-05-10,249060,megawatthours
2022-05-09,242446,megawatthours
2022-05-08,206833,megawatthours
2022-05-07,224860,megawatthours
2022-05-06,259629,megawatthours
2022-05-05,260363,megawatthours
2022-05-04,259854,megawatthours
2022-05-03,247864,megawatthours
2022-05-02,241457,megawatthours
2022-05-01,209232,megawatthours
2022-04-30,223515,megawatthours
2022-04-29,241431,megawatthours
2022-04-28,241145,megawatthours
2022-04-27,243877,megawatthours
2022-04-26,246548,megawatthours
2022-04-25,241914,megawatthours
2022-04-24,208713,megawatthours
2022-04-23,213982,megawatthours
2022-04-22,237966,megawatthours
2022-04-21,251450,megawatthours
2022-04-20,244669,megawatthours
2022-04-19,246690,megawatthours
2022-04-18,239108,megawatthours
2022-04-17,198560,megawatthours
2022-04-16,219692,megawatthours
2022-04-15,237334,megawatthours
2022-04-14,261232,megawatthours
2022-04-13,249915,megawatthours
2022-04-12,241509,megawatthours
2022-04-11,242560,megawatthours
2022-04-10,204786,megawatthours
2022-04-09,218810,megawatthours
2022-04-08,263904,megawatthours
2022-04-07,266735,megawatthours
2022-04-06,250764,megawatthours
2022-04-05,240421,megawatthours
2022-04-04,238661,megawatthours
2022-04-03,207265,megawatthours
2022-04-02,216018,megawatthours
2022-04-01,231890,megawatthours
2022-03-31,236666,megawatthours
2022-03-30,242736,megawatthours
2022-03-29,237209,megawatthours
